,product_name,product_price,productDesc,product_img,product_buy
10,Nike,Rs. 3695,Women Revolution 6 NN Running,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15384920/2023/12/13/a9cbd7d3-5b8f-4222-b065-aacfc7f008d51702451329079NikeWomenBlueRevolution6NextNatureRunningShoes2.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-blue-revolution-6-next-nature-running-shoes/15384920/buy
11,Nike,Rs. 3995,Women DOWNSHIFTER 11 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-cream-coloured-downshifter-11-running-shoes/14528424/buy
12,Nike,Rs. 3695,Revolution 7 Road Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/25145552/buy
13,Nike,Rs. 3695,Women Revolution 6 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-revolution-6-next-nature-road-running-shoes/15384802/buy
14,Nike,Rs. 3695,Revolution 7 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-textured-road-running-sports-shoes/25205550/buy
15,Nike,Rs. 3695,Women REVOLUTION 5 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-white-revolution-5-running-shoes/11979652/buy
16,Nike,Rs. 3695,Women REVOLUTION Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-revolution-5-running-shoes/13762840/buy
17,Nike,Rs. 3995,Down Shifter 11 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-woven-design-down-shifter-11-running-shoes-/13762768/buy
18,Nike,not mentioned ,Women Revolution Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-running-shoes/26142006/buy
19,Nike,not mentioned ,Women Revolution 6 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-revolution-6-next-nature-running-shoes/15385018/buy
20,Nike,not mentioned ,Downshifter 12 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-downshifter-12-textured-road-running-sports-shoes/25057512/buy
21,Nike,Rs. 3995,Women Downshifter 11 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-downshifter-11-running-shoes/15384862/buy
22,Nike,not mentioned ,Revolution 7 Road Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/25507680/buy
23,Nike,not mentioned ,Women DOWNSHIFTER 12 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-pink--downshifter-12-running-shoes/17205494/buy
24,Nike,not mentioned ,Women DS 12 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-black-downshifter-12-running-shoes/18800802/buy
25,Nike,Rs. 4495,Women Court Royale Tennis Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-white-court-royale-ac-leather-tennis-shoes/10714456/buy
26,Nike,Rs. 4995,Women Run 11 Running  Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-flex-experience-11-running-shoes/23314830/buy
27,Nike,not mentioned ,Women Revolution Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/26141956/buy
28,Nike,Rs. 3995,Downshifter 12 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-downshifter-12-road-running-shoes/24109844/buy
29,Nike,not mentioned ,Revolution 7 Road Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/25205554/buy
30,Nike,not mentioned ,Women DOWNSHIFTER Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-white-downshifter-12-running-shoes/17205560/buy
31,Nike,not mentioned ,Revolution 7 Road Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/26141960/buy
32,Nike,Rs. 3695,Men Revolution 6 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-textured-road-running-sports-shoes/25055732/buy
33,Nike,not mentioned ,Men Road Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-7-road-running-shoes/25503834/buy
34,Nike,Rs. 3695,Men Revolution 5 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-5-road-running-sports-shoes/11980156/buy
35,Nike,not mentioned ,Men Revolution 6 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-road-running-sports-shoes/16273936/buy
36,Nike,Rs. 3995,Men Downshifter 11 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-black-downshifter-11-running-shoes/16274102/buy
37,Nike,Rs. 3995,Men Downshifter 11 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-woven-design-downshifter-11-running-shoes/16273992/buy
38,Nike,not mentioned ,Revolution 6 NN Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-solid-revolution-6-next-nature-road-running-shoes/16274106/buy
39,Nike,Rs. 3995,Men D11 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-solid-downshifter-11-running-shoes/18800632/buy
40,Nike,Rs. 3695,Men Revolution 5 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-5-road-running-sports-shoes/11979886/buy
41,Nike,not mentioned ,Downshifter 12 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-solid-downshifter-12-road-running-shoes/17205438/buy
42,Nike,Rs. 3695,Men Grey Revolution 5 Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-5-road-running-sports-shoes/15384978/buy
43,Nike,Rs. 3695,Men Revolution 6 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-textured-road-running-sports-shoes/25055722/buy
44,Nike,Rs. 7095,Women Renew Serenity Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-off-white-renew-serenity-running-shoes/19935316/buy
45,Nike,not mentioned ,Men Air Force Leather Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-air-force-1-07-leather-sneakers/21252102/buy
46,Nike,not mentioned ,Men Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-giannis-immortality-3-ep-basketball-shoes/27306914/buy
47,Nike,not mentioned ,Men Jordan One Take 5 PF Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-jordan-one-take-5-pf-basketball-shoes/27306866/buy
48,Nike,not mentioned ,Men Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-giannis-immortality-3-ep-basketball-shoes/27306842/buy
49,Nike,not mentioned ,Men Court Vision Low Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-court-vision-low-sneakers/27306858/buy
